GENESIS-Tabelle: 46321-0002
Beförderte Güter, Beförderungsleistung (Binnenschifffahrt):;;;;;;;;;
Deutschland, Monate, Hauptverkehrsbeziehungen;;;;;;;;;
Güterverkehrsstatistik der Binnenschifffahrt;;;;;;;;;
Deutschland;;;;;;;;;
;;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen
;;Verkehr innerhalb Deutschlands;Verkehr innerhalb Deutschlands;Grenzüberschreitender Versand;Grenzüberschreitender Versand;Grenzüberschreitender Empfang;Grenzüberschreitender Empfang;Durchgangsverkehr;Durchgangsverkehr
;;Beförderte Güter;Beförderungsleistung;Beförderte Güter;Beförderungsleistung;Beförderte Güter;Beförderungsleistung;Beförderte Güter;Beförderungsleistung
;;t;Mill. Tkm;t;Mill. Tkm;t;Mill. Tkm;t;Mill. Tkm
2013;März;4475405;877;4224240;1171;8928518;2005;1723734;1112
2013;April;4811285;933;4061790;1063;9004089;2002;1712220;1063
2013;Mai;4798929;995;4223818;1134;9174313;2087;1720480;1108
2013;Juni;4299495;844;3863992;985;8316944;1756;1606282;998
2013;Juli;4759974;1001;4043439;1073;8481828;1941;1687049;1138
2013;August;4836779;1020;4282040;1123;8011656;1750;1391867;944
2013;September;4680205;960;3913936;1007;8673816;1860;1467147;961
2013;Oktober;5139648;1075;4289768;1186;9511605;2149;1949369;1255
2013;November;5021245;1042;4044548;1153;9078253;2096;1978331;1291
2013;Dezember;4206037;832;3729130;993;8781561;1909;1390066;916
2014;Januar;4359824;822;4054108;1107;9208095;1970;1618769;1046
2014;Februar;4217138;815;3954982;1031;8472976;1814;1509309;967
2014;März;4726557;964;4249958;1088;9090568;1962;1486870;956
2014;April;4424996;865;3923219;952;8215408;1738;1243029;787
2014;Mai;4826817;978;4544113;1204;9241777;1943;1675348;1116
2014;Juni;4507468;919;3819859;988;7948343;1755;1467347;957
2014;Juli;4814113;995;4413128;1174;9064242;1950;1680653;1090
2014;August;4740466;1014;4334267;1135;8174715;1767;1499608;1004
2014;September;4673281;934;4505661;1159;8270931;1871;1722652;1234
2014;Oktober;4988776;1030;4425994;1171;8960808;2020;1611430;1024
2014;November;4873193;992;4296409;1141;8927997;1994;1674385;1100
2014;Dezember;4468812;878;4034059;1071;8317962;1775;1228991;825
2015;Januar;4258762;864;4284419;1180;9165317;2003;1575949;1044
