GENESIS-Tabelle: 46331-0004;;;;;;;;;
Umgeschlagene Güter (Seeverkehr): Deutschland, Monate,;;;;;;;;;
Güterabteilungen, Hauptverkehrsbeziehungen,;;;;;;;;;
Flagge des Schiffes;;;;;;;;;
Seeverkehrsstatistik;;;;;;;;;
Deutschland;;;;;;;;;
;;;;Umgeschlagene Güter;Umgeschlagene Güter;Umgeschlagene Güter;Umgeschlagene Güter;Umgeschlagene Güter;Umgeschlagene Güter
;;;;Verkehr innerhalb Deutschlands;Verkehr innerhalb Deutschlands;Grenzüberschreitender Versand;Grenzüberschreitender Versand;Grenzüberschreitender Empfang;Grenzüberschreitender Empfang
;;;;Flagge des Schiffes;Flagge des Schiffes;Flagge des Schiffes;Flagge des Schiffes;Flagge des Schiffes;Flagge des Schiffes
;;year;month;Deutschland;Schiffe fremder Flagge;Deutschland;Schiffe fremder Flagge;Deutschland;Schiffe fremder Flagge
;;;;t;t;t;t;t;t
NST7-02;Kohle, rohes Erdöl und Erdgas;2012;Dezember;735;-;25;502;31;3367942
NST7-02;Kohle, rohes Erdöl und Erdgas;2013;Januar;-;-;59;36332;13;3771187
NST7-02;Kohle, rohes Erdöl und Erdgas;2013;Februar;-;127968;39;522;2411;2857434
NST7-02;Kohle, rohes Erdöl und Erdgas;2013;März;-;-;6;195;11282;3385727
NST7-02;Kohle, rohes Erdöl und Erdgas;2013;April;-;-;13;312;23;3458637
NST7-02;Kohle, rohes Erdöl und Erdgas;2013;Mai;-;6100;10;292;15;3244172
NST7-02;Kohle, rohes Erdöl und Erdgas;2013;Juni;-;37572;30;7407;33;2873788
NST7-02;Kohle, rohes Erdöl und Erdgas;2013;Juli;-;7935;56;5747;21;3074334
NST7-02;Kohle, rohes Erdöl und Erdgas;2013;August;-;13170;32;441;256;3020769
NST7-02;Kohle, rohes Erdöl und Erdgas;2013;September;-;-;91;502;12;2345726
NST7-02;Kohle, rohes Erdöl und Erdgas;2013;Oktober;-;-;34;8956;14;3280342
NST7-02;Kohle, rohes Erdöl und Erdgas;2013;November;-;45216;102;4806;1330;2975883
NST7-02;Kohle, rohes Erdöl und Erdgas;2013;Dezember;-;60805;56;100202;155;2795267
NST7-02;Kohle, rohes Erdöl und Erdgas;2014;Januar;-;79611;32;118219;991;2921418
NST7-02;Kohle, rohes Erdöl und Erdgas;2014;Februar;-;64972;492;139553;1359;3370017
NST7-02;Kohle, rohes Erdöl und Erdgas;2014;März;-;33891;76;19750;69;2887472
NST7-02;Kohle, rohes Erdöl und Erdgas;2014;April;-;84245;56;10238;2187;3072440
NST7-02;Kohle, rohes Erdöl und Erdgas;2014;Mai;-;2234;88;895;1883;3022045
NST7-02;Kohle, rohes Erdöl und Erdgas;2014;Juni;-;-;31;101426;7786;2457547
NST7-02;Kohle, rohes Erdöl und Erdgas;2014;Juli;420;39400;51;1892;7327;3422529
NST7-02;Kohle, rohes Erdöl und Erdgas;2014;August;180;40500;159;4148;8901;3214029
NST7-02;Kohle, rohes Erdöl und Erdgas;2014;September;-;-;71;17341;9113;2630119
NST7-02;Kohle, rohes Erdöl und Erdgas;2014;Oktober;166;62666;156;9853;8026;3717677
NST7-02;Kohle, rohes Erdöl und Erdgas;2014;November;-;41221;188;11502;944;2866808
NST7-02;Kohle, rohes Erdöl und Erdgas;2014;Dezember;338;25898;96;2857;1234;3464961
NST7-02;Kohle, rohes Erdöl und Erdgas;2015;Januar;-;-;130;145536;7847;3388677
NST7-02;Kohle, rohes Erdöl und Erdgas;2015;Februar;614;11000;86;9115;790;2486622
NST7-02;Kohle, rohes Erdöl und Erdgas;2015;März;-;14623;64;2805;446;3718569
NST7-02;Kohle, rohes Erdöl und Erdgas;2015;April;-;-;39;1848;68;3036921
NST7-02;Kohle, rohes Erdöl und Erdgas;2015;Mai;-;102756;83;8826;1283;2992910
NST7-02;Kohle, rohes Erdöl und Erdgas;2015;Juni;-;184361;139;22995;1314;2715294
NST7-02;Kohle, rohes Erdöl und Erdgas;2015;Juli;1180;19978;182;4146;9041;2877626
NST7-02;Kohle, rohes Erdöl und Erdgas;2015;August;1508;20272;74;34891;6572;2750620
