buisnesstype,date,Originalwerte
"Hotels, Gasthöfe und Pensionen",2017-08,"108,6"
"Hotels, Gasthöfe und Pensionen",2017-09,"125,5"
"Hotels, Gasthöfe und Pensionen",2017-10,"116,2"
"Hotels, Gasthöfe und Pensionen",2017-11,"97,4"
"Hotels, Gasthöfe und Pensionen",2017-12,"99,2"
"Hotels, Gasthöfe und Pensionen",2018-01,"81,1"
"Hotels, Gasthöfe und Pensionen",2018-02,"83,1"
"Hotels, Gasthöfe und Pensionen",2018-03,"95,4"
"Hotels, Gasthöfe und Pensionen",2018-04,"103,3"
"Hotels, Gasthöfe und Pensionen",2018-05,"108,8"
"Hotels, Gasthöfe und Pensionen",2018-06,"115,3"
"Hotels, Gasthöfe und Pensionen",2018-07,"113,7"
"Hotels, Gasthöfe und Pensionen",2018-08,"113,4"
"Hotels, Gasthöfe und Pensionen",2018-09,"127,7"
"Hotels, Gasthöfe und Pensionen",2018-10,"117,2"
"Hotels, Gasthöfe und Pensionen",2018-11,"100,5"
"Hotels, Gasthöfe und Pensionen",2018-12,99
"Hotels, Gasthöfe und Pensionen",2019-01,"82,9"
"Hotels, Gasthöfe und Pensionen",2019-02,"85,6"
"Hotels, Gasthöfe und Pensionen",2019-03,"99,7"
"Hotels, Gasthöfe und Pensionen",2019-04,"101,2"
"Hotels, Gasthöfe und Pensionen",2019-05,"112,9"
"Hotels, Gasthöfe und Pensionen",2019-06,"114,6"
"Hotels, Gasthöfe und Pensionen",2019-07,"112,5"
"Hotels, Gasthöfe und Pensionen",2019-08,"112,1"
"Hotels, Gasthöfe und Pensionen",2019-09,"123,6"
"Hotels, Gasthöfe und Pensionen",2019-10,"118,2"
"Hotels, Gasthöfe und Pensionen",2019-11,"103,3"
"Hotels, Gasthöfe und Pensionen",2019-12,99
"Hotels, Gasthöfe und Pensionen",2020-01,"81,3"
"Hotels, Gasthöfe und Pensionen",2020-02,"86,3"
"Hotels, Gasthöfe und Pensionen",2020-03,48
"Hotels, Gasthöfe und Pensionen",2020-04,10
"Hotels, Gasthöfe und Pensionen",2020-05,...
"Hotels, Gasthöfe und Pensionen",2020-06,...
"Hotels, Gasthöfe und Pensionen",2020-07,...
"Hotels, Gasthöfe und Pensionen",2020-08,...
"Hotels, Gasthöfe und Pensionen",2020-09,...
"Hotels, Gasthöfe und Pensionen",2020-10,...
"Hotels, Gasthöfe und Pensionen",2020-11,...
"Hotels, Gasthöfe und Pensionen",2020-12,...
