GENESIS-Tabelle: 45212-0004
Umsatz im Einzelhandel (real/nominal) (Messzahlen und;;;;;
Veränderungsraten): Deutschland, Monate/Quartale/Halbjahre,;;;;;
Wirtschaftszweige;;;;;
Monatsstatistik im Einzelhandel;;;;;
Deutschland;;;;;
;;;;Preisarten;Preisarten
;;;;in konstanten Preisen;in konstanten Preisen
;;;;Umsatz;Veränderung zur Vorjahresperiode
;;;;2015=100;in (%)
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2011;April;97,0;+4,8
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2011;Mai;95,6;+4,5
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2011;Juni;90,8;-2,0
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2011;Juli;94,3;-2,5
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2011;August;93,6;+3,4
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2011;September;94,2;+1,2
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2011;Oktober;97,2;-0,4
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2011;November;98,8;+0,8
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2011;Dezember;113,2;+0,8
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2012;Januar;87,2;+2,0
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2012;Februar;86,0;+2,5
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2012;März;99,2;+4,2
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2012;April;92,4;-4,7
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2012;Mai;95,0;-0,6
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2012;Juni;95,0;+4,6
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2012;Juli;93,4;-1,0
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2012;August;93,6;-
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2012;September;91,3;-3,1
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2012;Oktober;98,7;+1,5
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2012;November;99,3;+0,5
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2012;Dezember;109,7;-3,1
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2013;Januar;89,1;+2,2
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2013;Februar;83,1;-3,4
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2013;März;96,3;-2,9
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2013;April;94,8;+2,6
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2013;Mai;95,2;+0,2
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2013;Juni;92,3;-2,8
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2013;Juli;96,5;+3,3
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2013;August;93,9;+0,3
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2013;September;91,5;+0,2
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2013;Oktober;98,6;-0,1
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2013;November;100,9;+1,6
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2013;Dezember;109,9;+0,2
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2014;Januar;90,0;+1,0
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2014;Februar;84,8;+2,0
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2014;März;95,7;-0,6
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2014;April;98,1;+3,5
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2014;Mai;97,2;+2,1
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2014;Juni;92,3;-
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2014;Juli;97,1;+0,6
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2014;August;92,8;-1,2
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2014;September;93,8;+2,5
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2014;Oktober;100,5;+1,9
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2014;November;98,7;-2,2
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2014;Dezember;114,4;+4,1
