;;;Originalwerte
Hotels, Gasthöfe und Pensionen;2006;Juli;112,3
Hotels, Gasthöfe und Pensionen;2006;August;108,4
Hotels, Gasthöfe und Pensionen;2006;September;128,7
Hotels, Gasthöfe und Pensionen;2006;Oktober;118,4
Hotels, Gasthöfe und Pensionen;2006;November;90,7
Hotels, Gasthöfe und Pensionen;2006;Dezember;99,8
Hotels, Gasthöfe und Pensionen;2007;Januar;79,4
Hotels, Gasthöfe und Pensionen;2007;Februar;82,6
Hotels, Gasthöfe und Pensionen;2007;März;97,4
Hotels, Gasthöfe und Pensionen;2007;April;101
Hotels, Gasthöfe und Pensionen;2007;Mai;115,2
Hotels, Gasthöfe und Pensionen;2007;Juni;111,6
Hotels, Gasthöfe und Pensionen;2007;Juli;109,5
Hotels, Gasthöfe und Pensionen;2007;August;111,7
Hotels, Gasthöfe und Pensionen;2007;September;124,3
Hotels, Gasthöfe und Pensionen;2007;Oktober;121,2
Hotels, Gasthöfe und Pensionen;2007;November;96,1
Hotels, Gasthöfe und Pensionen;2007;Dezember;100,4
Hotels, Gasthöfe und Pensionen;2008;Januar;81,1
Hotels, Gasthöfe und Pensionen;2008;Februar;87,1
Hotels, Gasthöfe und Pensionen;2008;März;90,2
Hotels, Gasthöfe und Pensionen;2008;April;101,5
Hotels, Gasthöfe und Pensionen;2008;Mai;117,3
Hotels, Gasthöfe und Pensionen;2008;Juni;112
Hotels, Gasthöfe und Pensionen;2008;Juli;108
Hotels, Gasthöfe und Pensionen;2008;August;109,9
Hotels, Gasthöfe und Pensionen;2008;September;122,6
Hotels, Gasthöfe und Pensionen;2008;Oktober;115
Hotels, Gasthöfe und Pensionen;2008;November;92,8
Hotels, Gasthöfe und Pensionen;2008;Dezember;93,2
Hotels, Gasthöfe und Pensionen;2009;Januar;70,6
Hotels, Gasthöfe und Pensionen;2009;Februar;74,5
Hotels, Gasthöfe und Pensionen;2009;März;84,5
Hotels, Gasthöfe und Pensionen;2009;April;86,3
Hotels, Gasthöfe und Pensionen;2009;Mai;104,7
Hotels, Gasthöfe und Pensionen;2009;Juni;100
