;;;Arbeitslose;Arbeitslosenquote aller zivilen Erwerbspersonen;Arbeitslosenquote d. abhängigen ziv. Erwerbspers.;Gemeldete Arbeitsstellen;Kurzarbeiter;Kurzarbeitende Betriebe
Früheres Bundesgebiet;2008;Juli;2114711;6,3;7,1;347284;34780;3605
Früheres Bundesgebiet;2008;August;2103582;6,3;7,1;343255;32506;3117
Früheres Bundesgebiet;2008;September;2036589;6,1;6,9;335943;42043;3360
Früheres Bundesgebiet;2008;Oktober;1984671;6;6,7;321944;58921;3711
Früheres Bundesgebiet;2008;November;1980123;5,9;6,7;299218;109947;5425
Früheres Bundesgebiet;2008;Dezember;2053550;6,2;6,9;264853;222690;13080
Früheres Bundesgebiet;2009;Januar;2300641;6,9;7,7;243239;483482;22715
Früheres Bundesgebiet;2009;Februar;2341448;7;7,9;253609;917041;32767
Früheres Bundesgebiet;2009;März;2372359;7,1;8;251032;1138844;42490
Früheres Bundesgebiet;2009;April;2392796;7,2;8;240428;1274232;40155
Früheres Bundesgebiet;2009;Mai;2327619;6,9;7,8;235129;1294626;45681
Früheres Bundesgebiet;2009;Juni;2312797;6,9;7,7;234950;1222835;48949
Früheres Bundesgebiet;2009;Juli;2362529;7;7,9;237085;1093531;50025
Früheres Bundesgebiet;2009;August;2383497;7,1;8;239788;906129;47233
Früheres Bundesgebiet;2009;September;2300928;6,8;7,7;240777;962210;48891
Früheres Bundesgebiet;2009;Oktober;2223279;6,6;7,4;237804;969167;48819
Früheres Bundesgebiet;2009;November;2210145;6,6;7,4;231971;856325;48610
Früheres Bundesgebiet;2009;Dezember;2242539;6,7;7,5;224734;792787;52045
Früheres Bundesgebiet;2010;Januar;2463708;7,3;8,2;217631;879674;58759
Früheres Bundesgebiet;2010;Februar;2475681;7,4;8,3;238553;847628;62176
Früheres Bundesgebiet;2010;März;2422090;7,2;8,1;254627;714343;57255
Früheres Bundesgebiet;2010;April;2324487;6,9;7,8;267025;531197;41010
Früheres Bundesgebiet;2010;Mai;2219959;6,6;7,4;285739;415957;36970
